Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-23 00:00:00-04:00,260.8713145100822,264.46591590818326,259.5868445828867,262.87274169921875,4711300,0.0,0.0
2024-08-26 00:00:00-04:00,262.81297279057645,266.1586109303388,262.1159496511589,264.1472473144531,3818300,0.0,0.0
2024-08-27 00:00:00-04:00,258.54130931557927,263.33076857163974,258.2923767954627,263.0718994140625,5276400,0.0,0.0
2024-08-28 00:00:00-04:00,260.7119762779071,264.04767790331874,256.26106189842477,257.79449462890625,10981900,0.0,0.0
2024-08-29 00:00:00-04:00,269.85281878014604,270.7888074865893,255.18570375822947,255.91259765625,14301700,0.0,0.0
2024-08-30 00:00:00-04:00,256.3407369018599,258.0235230543135,249.92823318905562,251.8201141357422,10507700,0.0,0.0
2024-09-03 00:00:00-04:00,251.54132004825937,252.60675849334538,245.58685861107054,247.00079345703125,6190400,0.0,0.0
2024-09-04 00:00:00-04:00,245.4175811805917,248.41472309472294,244.11317727508487,246.62240600585938,4706500,0.0,0.0
2024-09-05 00:00:00-04:00,244.92967493798147,247.4389189334967,243.95386373725026,245.06907653808594,4083600,0.0,0.0
2024-09-06 00:00:00-04:00,246.68217508224663,248.93251958962819,240.40907254986095,242.9282684326172,6259400,0.0,0.0
2024-09-09 00:00:00-04:00,245.44744748380538,248.29523592036892,243.72483882059097,244.71060180664062,4588800,0.0,0.0
2024-09-10 00:00:00-04:00,246.0747766179798,246.28387142386765,242.2710804644839,245.10891723632812,3544800,0.0,0.0
2024-09-11 00:00:00-04:00,243.76467909645018,248.9524395121261,240.97663182637308,248.50436401367188,4822200,0.0,0.0
2024-09-12 00:00:00-04:00,250.31657522163852,253.05483284338482,248.50435444175463,252.28811645507812,5221400,0.0,0.0
2024-09-13 00:00:00-04:00,251.4616557645266,255.73333091946884,251.37204370805884,253.48300170898438,4998900,0.0,0.0
2024-09-16 00:00:00-04:00,253.48299893556373,256.70915448218057,253.48299893556373,255.81300354003906,5367000,0.0,0.0
2024-09-17 00:00:00-04:00,257.6152674905955,258.26248591483795,253.67216999506326,254.100341796875,5423400,0.0,0.0
2024-09-18 00:00:00-04:00,255.30707892257217,255.42674924622105,250.28072750197865,251.74673461914062,4436700,0.4,0.0
2024-09-19 00:00:00-04:00,260.0142951058519,268.8104287990773,257.3515087600209,265.27001953125,11022800,0.0,0.0
2024-09-20 00:00:00-04:00,265.29001051814595,269.58834236911633,260.61270232922845,266.0778503417969,11463200,0.0,0.0
2024-09-23 00:00:00-04:00,266.5266225479874,267.33442765019174,261.5301735984478,263.4948425292969,6034000,0.0,0.0
2024-09-24 00:00:00-04:00,269.0996430612995,271.7225293616877,265.56924662277055,269.7080078125,7154500,0.0,0.0
2024-09-25 00:00:00-04:00,269.71798226678567,276.30009362822426,268.6508711428341,273.3481140136719,7920000,0.0,0.0
2024-09-26 00:00:00-04:00,275.38260449217694,277.8858204206739,271.97184800619704,275.01361083984375,5253400,0.0,0.0
2024-09-27 00:00:00-04:00,275.51225902490205,277.0879690602532,274.3154948812349,275.8912353515625,5220100,0.0,0.0
2024-09-30 00:00:00-04:00,273.20851782165505,274.9936509554121,268.41153937612734,272.9691467285156,5059700,0.0,0.0
2024-10-01 00:00:00-04:00,273.3980095046122,273.95649133749356,268.96004198923947,270.1368408203125,4369900,0.0,0.0
2024-10-02 00:00:00-04:00,272.9791221369097,281.236709408527,270.1168952476319,278.7235412597656,8512300,0.0,0.0
2024-10-03 00:00:00-04:00,278.23484171915175,280.35908126958327,276.9782728854268,280.149658203125,3868400,0.0,0.0
2024-10-04 00:00:00-04:00,283.09167515614,287.110796566182,280.7081598805945,286.9711608886719,6129900,0.0,0.0
2024-10-07 00:00:00-04:00,285.80428236218864,287.3900053912085,282.6129622659555,283.79974365234375,4794700,0.0,0.0
2024-10-08 00:00:00-04:00,285.2258616816999,291.8379206175533,283.3310106456344,290.7807922363281,5211200,0.0,0.0
2024-10-09 00:00:00-04:00,290.03283037420647,290.78080031197675,286.3029329220758,287.14068603515625,4851000,0.0,0.0
2024-10-10 00:00:00-04:00,287.1406728095739,289.4444176769989,283.8495869739858,289.38458251953125,3965500,0.0,0.0
2024-10-11 00:00:00-04:00,288.4272019597706,289.45441289546443,285.52507465174756,287.3202209472656,3597000,0.0,0.0
2024-10-14 00:00:00-04:00,289.1353011946144,291.65845215071886,287.469807910042,290.85064697265625,3642500,0.0,0.0
2024-10-15 00:00:00-04:00,292.6656730182106,292.78534334041177,287.22046031323197,287.56951904296875,3850800,0.0,0.0
2024-10-16 00:00:00-04:00,286.77168490078697,290.13258898865774,283.46069417538536,290.0727233886719,3497000,0.0,0.0
2024-10-17 00:00:00-04:00,291.1697268282803,292.54599637380136,289.3147760042994,290.322021484375,2830000,0.0,0.0
2024-10-18 00:00:00-04:00,291.24953686509514,293.91229286861414,289.3646379645358,292.1470947265625,3087900,0.0,0.0
2024-10-21 00:00:00-04:00,288.21777663279096,292.12717993560165,287.2603835436245,290.5015869140625,2712600,0.0,0.0
2024-10-22 00:00:00-04:00,288.9657304082548,291.149805145362,286.8714084149358,287.549560546875,3100100,0.0,0.0
2024-10-23 00:00:00-04:00,286.95121188013366,287.51964592998627,281.8550272960157,283.6601257324219,3227100,0.0,0.0
2024-10-24 00:00:00-04:00,285.7843853534032,288.12803085728285,284.4081156347429,285.9838562011719,3210700,0.0,0.0
2024-10-25 00:00:00-04:00,289.2150816896312,293.5832315861264,288.04823503763066,289.673828125,3351200,0.0,0.0
2024-10-28 00:00:00-04:00,292.8053001915038,295.26861570194825,291.69828887330084,292.9748229980469,3867800,0.0,0.0
2024-10-29 00:00:00-04:00,293.2042150584009,299.78635658548234,292.01743365789036,298.08099365234375,4280700,0.0,0.0
2024-10-30 00:00:00-04:00,296.2659171632502,298.7292327420838,295.54786479595936,295.59771728515625,2826500,0.0,0.0
2024-10-31 00:00:00-04:00,291.8080416460443,295.2885857144422,288.76627865349536,290.58135986328125,4301800,0.0,0.0
2024-11-01 00:00:00-04:00,289.4444647688819,296.1861472318711,289.2150763379528,293.92230224609375,3527500,0.0,0.0
2024-11-04 00:00:00-05:00,297.18340379737765,299.36747843474984,292.1271501850125,297.203369140625,5107900,0.0,0.0
2024-11-05 00:00:00-05:00,296.6349009304307,298.00118778669224,293.94219703394845,296.68475341796875,4456100,0.0,0.0
2024-11-06 00:00:00-05:00,304.1744542509277,307.72481593787813,302.24968550055377,306.0693054199219,5874900,0.0,0.0
2024-11-07 00:00:00-05:00,306.66769143132433,311.34499946876605,305.17175147312275,309.9388122558594,5722600,0.0,0.0
2024-11-08 00:00:00-05:00,309.19083350823854,321.93624037326265,308.60243412689647,321.0785827636719,8485000,0.0,0.0
2024-11-11 00:00:00-05:00,324.369649009016,343.94652154977894,324.369649009016,340.8050537109375,13954200,0.0,0.0
2024-11-12 00:00:00-05:00,338.37167249511907,347.9157468157566,337.59378489204255,340.22662353515625,7659700,0.0,0.0
2024-11-13 00:00:00-05:00,344.5648111392196,347.24753236407395,337.8530167413353,340.7950439453125,6902900,0.0,0.0
2024-11-14 00:00:00-05:00,341.5131226453487,345.06348438514925,329.92457928212576,330.7523193359375,7630600,0.0,0.0
2024-11-15 00:00:00-05:00,326.0451014915282,329.3661053282834,323.30254483050356,324.379638671875,7093000,0.0,0.0
2024-11-18 00:00:00-05:00,326.1148894719138,326.1148894719138,319.34325985068887,321.37774658203125,4251100,0.0,0.0
2024-11-19 00:00:00-05:00,318.13656340528735,323.8211474018802,315.14468349865456,322.5545654296875,5469900,0.0,0.0
2024-11-20 00:00:00-05:00,324.4095570087608,326.3742260933533,321.13843609194964,324.8184509277344,3763500,0.0,0.0
2024-11-21 00:00:00-05:00,330.4531526158141,342.0117787154472,327.71059594475855,334.87115478515625,8364200,0.0,0.0
2024-11-22 00:00:00-05:00,338.03257102775996,341.8821084979672,334.87113792382763,341.09423828125,5649400,0.0,0.0
2024-11-25 00:00:00-05:00,344.06621120529996,346.9085033848611,337.37438124249223,338.192138671875,7117200,0.0,0.0
2024-11-26 00:00:00-05:00,341.0543649644177,342.8793982653331,338.22205571708196,342.2510986328125,4492800,0.0,0.0
2024-11-27 00:00:00-05:00,335.5492835547524,336.4668067503096,327.98981399440805,329.11676025390625,7471500,0.0,0.0
2024-11-29 00:00:00-05:00,328.44856720880944,331.09138833011474,326.36422789295074,329.0968017578125,3517600,0.0,0.0
2024-12-02 00:00:00-05:00,331.101385363954,333.59461868747775,329.21648636258107,330.11407470703125,6063400,0.0,0.0
2024-12-03 00:00:00-05:00,326.5138073277014,331.8991848462023,322.7739576016625,330.53289794921875,12632400,0.0,0.0
2024-12-04 00:00:00-05:00,365.8171391547541,368.0012138342595,355.68463595633466,366.874267578125,24733100,0.0,0.0
2024-12-05 00:00:00-05:00,359.8034734053325,364.46084647987556,355.7046125756282,360.40185546875,10942100,0.0,0.0
2024-12-06 00:00:00-05:00,364.0020420084181,366.1561990121446,360.11260454403964,361.0101623535156,5738900,0.0,0.0
2024-12-09 00:00:00-05:00,360.7209940696894,360.7209940696894,349.8405206566904,350.618408203125,6475000,0.0,0.0
2024-12-10 00:00:00-05:00,350.3990053113262,354.527783726746,346.4896022032458,347.8758544921875,6033000,0.0,0.0
2024-12-11 00:00:00-05:00,352.53319168069004,359.2250515002557,350.9275641092582,353.8895263671875,7546600,0.0,0.0
2024-12-12 00:00:00-05:00,354.03911565423135,359.0255820718966,351.96475901587195,357.0609130859375,5422000,0.0,0.0
2024-12-13 00:00:00-05:00,363.0147570678112,363.81257952473914,351.5458842483611,353.3509826660156,5538000,0.0,0.0
2024-12-16 00:00:00-05:00,349.8305381628164,357.1008147502969,349.61113242217306,356.2630920410156,5482300,0.0,0.0
2024-12-17 00:00:00-05:00,355.93396130683755,356.26308512890495,348.1650382263503,350.02001953125,6911000,0.0,0.0
2024-12-18 00:00:00-05:00,353.9438537845804,354.21341923444936,334.71405948169195,336.7009582519531,8400000,0.4,0.0
2024-12-19 00:00:00-05:00,341.1639652411139,342.99108099478224,334.90378189606787,335.7025451660156,7423400,0.0,0.0
2024-12-20 00:00:00-05:00,332.21798248518513,345.90649595894934,330.62051696620347,343.1108703613281,14932300,0.0,0.0
2024-12-23 00:00:00-05:00,341.71308634534597,343.3105823973656,336.1518171160546,342.362060546875,5330300,0.0,0.0
2024-12-24 00:00:00-05:00,342.4618991444658,344.40885215838654,340.295290049332,343.8896484375,1811000,0.0,0.0
2024-12-26 00:00:00-05:00,344.3389450635749,344.3389450635749,340.4949789843487,341.18389892578125,3483300,0.0,0.0
2024-12-27 00:00:00-05:00,339.8160806561945,341.7330515854024,334.7440328636872,337.9190673828125,3220400,0.0,0.0
2024-12-30 00:00:00-05:00,332.9468594579345,337.5795644648291,331.0897615483615,335.2132873535156,3411100,0.0,0.0
